injury_texts,num_categories,injury_categories
"Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps, Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains",6,Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease;Neck or Back;Shoulder
"Nose, Lip, Temple, and Neck Injuries, Ulnar Nerve Irritation Causing Numbness in Three Fingers",6,"Nose;Mouth or Teeth;Head, Skull;Neck or Back;Wrist;Finger"
"Burns to Hand and Feet, Injuries to Head, Back, and Neck",4,"Hand;Foot;Neck or Back;Head, Skull"
Herniation of Disc at C5-C6 Level,1,Spine
Fractured Leg,1,Leg
Left and Right Hip Fracture,1,"Hip, Pelvis"
Sore Gums,1,Mouth or Teeth
Lower Back Syndrome,1,Neck or Back
"Leg and Ankle Numbness, Fractured Skull and Pelvis",4,"Joint;Leg;Head, Skull;Hip, Pelvis"
"Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome, Neck and Shoulder Scar Tissue",4,Hand;Wrist;Shoulder;Neck or Back
Arthritic Pain in Right Knee,1,Joint
Shoulder Impact Fracture,1,Shoulder
"Severely Lacerated Foot and Accompanying Infection, Loss of Almost All Usage of Right Arm, Hand, and Leg",5,Foot;Infection;Arm;Hand;Leg
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Paralysis of Left Arm and Leg",4,Jaw;Neck or Back;Arm;Leg
"Injuries to Back and Buttocks, Unspecified Neck and Shoulder Injuries",3,"Neck or Back;Hip, Pelvis;Shoulder"
"Multiple Lacerations on Forehead, Chin, and Lip, Dog Bite (Arm)",5,"Head, Skull;Face;Lip;Arm;Single Wound"
"Knee, Neck and Back Injuries, Injuries to Left Arm and Shoulder",4,Joint;Neck or Back;Arm;Shoulder
"Unspecified Injury to Chest and Back, Bruised Foot and Knee",4,Neck or Back;Breast or Chest;Foot;Joint
Headaches,1,"Head, Skull"
"Injury to Thumb, Knees, and Thigh, Wrongful Death and Survival Actions (not distinguished)",5,Joint;Finger;Leg;Death;Survival Action
Broken Small Finger,1,Finger
"Pain in Left Ear, Shoulder, and Ankle, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Joint;Ear;Shoulder;Mouth or Teeth;Arm
"Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains, Weakness and Loss of Reflex in the Ankle and Foot",4,Neck or Back;Shoulder;Joint;Foot
Fractured Skull,1,"Head, Skull"
Emotional Distress,1,General Emotional Problems
Lower Back Pain Radiating Into Left Hip and Leg,3,"Neck or Back;Hip, Pelvis;Leg"
Stiff Shoulder,1,Shoulder
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Left Thigh and Knee Sprain/Contusion",5,Arm;Shoulder;Lip;Joint;Leg
"Neck and Shoulder Scar Tissue, Non-displaced Fracture of the Radial Head of Right Arm",4,"Shoulder;Neck or Back;Hand;Head, Skull"
"Knee and Back Pain, Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy",3,Joint;Neck or Back;Nerve System
"Back Pain Radiating Down Right Leg, Disfigurement and Infertility",4,Leg;Neck or Back;Skin;Sexual Dysfunction
"Back Pain Radiating Down Right Leg, Contusions to Hip, Foot and Toe",4,"Leg;Neck or Back;Foot;Hip, Pelvis"
Broken Wrist,1,Wrist
"Numbness in Right Arm, Hand and Leg, Bruises on Face and Knee",5,Arm;Hand;Leg;Face;Joint
Hematoma to Knee,1,Joint
Survival and Wrongful Death Action,2,Survival Action;Death
Cervical Sprain/Strain,1,Neck or Back
"Neck, Right Shoulder, and Right Arm Pain, Severe Pain in Neck, Back, and Shoulders",3,Neck or Back;Shoulder;Arm
"Back Pain Radiating Down Right Leg, Burns to Torso and Leg",4,Leg;Neck or Back;Breast or Chest;Abdomen
Fracture of Femur,1,Leg
"Bruised Foot and Knee, Bilateral Inflamation of Two Joints in Lower Back, Bulging Discs at the L4-5, T5-6, T6-7, and T7-8 Level",4,Foot;Joint;Neck or Back;Spine
Chronic Radiculopathy Syndrome,2,Neck or Back;Nerve System
"Psychological Problems including Depression, Injuries to Ankle, Knee, and Lower Back",4,General Emotional Problems;Depression;Joint;Neck or Back
"Aggravation of Pre-Existing Knee and Wrist Injury, Permanent Disfigurement and Disability",4,Joint;Wrist;Disability;Skin
Death of Skin Necessitating Skin Graft,1,Skin
Mental Distress and Aggravation,1,General Emotional Problems
"Pain in Left Ear, Shoulder, and Ankle, Survival and Wrongful Death Action",4,Joint;Ear;Survival Action;Death
Knee injury,1,Joint
"Unspecified Cervical and Lumbar Injuries, Fractures of Humerus, Wrist, and Ankle",5,Neck or Back;Spine;Joint;Arm;Wrist
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Neck, Right Shoulder, and Right Arm Pain",6,Nerve System;Hand;Wrist;Neck or Back;Shoulder;Arm
Fractured Skull and Pelvis,2,"Head, Skull;Hip, Pelvis"
Facial Laceration,1,Face
"Concussion and Fracture of Frontal Sinus, Knee and Shoulder Pain",4,"Brain;Head, Skull;Joint;Shoulder"
Severely Lacerated Foot and Accompanying Infection,2,Foot;Infection
Breast Contusion,1,Breast or Chest
"Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back, Depression and Sleeping Disorder from Persistent Pain",7,"Face;Abdomen;Leg;Neck or Back;Hip, Pelvis;Sleeping Disorder;Depression "
"Severe Nerve Damage in Arm and Shoulder, Taut Paravertebral and Trapezius Muscles",3,Arm;Shoulder;Spine
"Soft Tissue Injury to Knee and Back, Arm and Shoulder Pain",4,Joint;Neck or Back;Arm;Shoulder
Punctured Lung,1,Lung
"Broken Teeth and Exposed Nerves, Prolonged Injury to Right Foot and Ankle",4,Mouth or Teeth;Nerve System;Joint;Foot
Lumbar Fusion Surgery,1,Neck or Back
"Bruised Left Hip and Head, Loss of Almost All Usage of Right Arm, Hand, Leg",5,"Head, Skull;Hip, Pelvis;Arm;Hand;Leg"
"Anterior Contusions of the Knee and Legs, Knee, Neck and Back Injuries",3,Joint;Leg;Neck or Back
"Back, Hip, and Leg Injuries, Stab Wounds to Back and Hand",4,"Neck or Back;Hip, Pelvis;Leg;Hand"
"Shoulder and Knee Injury, Hip and Leg Contusions",4,"Joint;Shoulder;Leg;Hip, Pelvis"
"Cervical and Lumbar Sprain/Strain, Injuries to Head, Back, and Neck",3,"Neck or Back;Spine;Head, Skull"
Testicle and Scrotum Amputation,1,Sexual Dysfunction
Nervousness Due to Trauma,1,Post Traumatic Stress Syndrome
"Lacerations of the Eye and Face, Lacerations of the Eye and Face",2,Eye;Face
"Concussion and Fracture of Frontal Sinus, Neck and Shoulder Pain",4,"Brain;Head, Skull;Shoulder;Neck or Back"
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Gunshot Injury to Stomach",5,Nerve System;Hand;Wrist;Gunshot;Stomach
"Leg and Ankle Numbness, Cervical Injury (Whip Lash)",4,Joint;Leg;Whiplash;Neck or Back
"Back, Neck, and Shoulder Injuries",2,Shoulder;Neck or Back
Aggravation of Pre-Existing Left Shoulder Injury,1,Shoulder
Left Pubic Bone Fracture,1,"Hip, Pelvis"
"Closed Head and Back Injury, Partial Loss of Smell and Taste",4,"Neck or Back;Head, Skull;Nose;Mouth or Teeth"
Emotional and Behavioral Changes,1,Cognitive Problem
Cut Lip,1,Mouth or Teeth
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome",5,Jaw;Neck or Back;Hand;Wrist;Shoulder
Rib Injury,1,Ribs
Mental and Emotional Anguish,1,General Emotional Problems
"Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back, Fractures to Fibula, Medial Malleolus and Tibula",4,Spine;Neck or Back;Joint;Leg
"Broken Small Finger, Thumb, and Nose, Burns to Torso and Leg",6,Finger;Nose;Leg;Breast or Chest;Neck or Back;Abdomen
"Injuries to Hands and Fingers, Arm and Shoulder Pain",4,Finger;Hand;Arm;Shoulder
Lumbar Disc Herniation,1,Neck or Back
Thoracolumbar Strain,1,Neck or Back
"Injury to Knee and Wrist, Cervical and Lower Lumbar Pain",4,Joint;Wrist;Neck or Back;Spine
"Reflex Sympathetic Dystrophy in Arm and Hand, Soft Tissue Injury to Neck and Shoulders",5,Arm;Hand;Shoulder;Neck or Back;Soft Tissue
"Non-displaced Fracture of the Radial Head of Right Arm, Back and Left Leg Pain",4,"Hand;Head, Skull;Leg;Neck or Back"
"Neck and Shoulder Stiffness, Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps",6,Shoulder;Neck or Back;Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease
Left-Sided Hearing Loss,1,Ear
Loss of Bodily Function,1,Other Damages
Increase in Migraine Headaches,1,"Head, Skull"
"Heart Complications-Survival Action, Pyorrhea (Gum Disease)",4,Heart;Survival Action;Mouth or Teeth;Jaw
"Neck, Right Shoulder, and Right Arm Pain",3,Neck or Back;Shoulder;Arm
Ear Discomfort,1,Ear
Premature Delivery of Lifeless Fetus,1,Medical Malpractice
"Severely Lacerated Foot and Accompanying Infection, Shoulder and Knee Injury",4,Foot;Infection;Joint;Shoulder
"Face and Eye Contusions, Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,Eye;Face;Wrist;Finger
"Aggravation of Pre-Existing Knee and Wrist Injury, Hand, Elbow, and Knee Injuries",3,Joint;Wrist;Hand
Broken Left Arm,1,Arm
Head Injury,1,"Head, Skull"
Right Shoulder Injury,1,Shoulder
Cervical Myofascial Pain on the Right Side,2,Neck or Back;Myofascial Pain Syndrome
"Soft Tissue Effacement of Left C-8 Nerve, Neck and Shoulder Injury",4,Soft Tissue;Nerve System;Shoulder;Neck or Back
Post-Concussive Syndrome,1,"Head, Skull"
"Joint Injury between Hand and Wrist, Neck and Shoulder Stiffness",4,Hand;Wrist;Shoulder;Neck or Back
"Rib Fracture Leading to Pneumonia, Neck and Hand Sprain",4,Ribs;Lung;Neck or Back;Hand
"Crushed Wrist, Arm, and Shoulder Blade, Neck, Knee, and Back Injuries",5,Arm;Wrist;Shoulder;Joint;Neck or Back
"Neck and Shoulder Injuries, Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal",5,Shoulder;Neck or Back;Nerve System;Hand;Wrist
"Severe Pain in Neck, Back, and Shoulders, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",7,Shoulder;Neck or Back;Burns;Hand;Stomach;Leg;Abdomen
"Strain/Sprain to Knee and Sternum, Extensive Lacerations Over Back of Left Hip",4,"Joint;Sternum;Neck or Back;Hip, Pelvis"
Left Leg Amputation,1,Leg
Reduced Activity Levels,1,Other Damages
"Shoulder and Thoracic Strain, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"Shoulder;Neck or Back;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
Two Herniated Cervical Discs,1,Spine
"Neck, Shoulder and Lower Back Pain",2,Shoulder;Neck or Back
Reduced Activity Levels,1,Other Damages
"Neck, Spine, and Dental Injuries, Bruised Lung, Kidney, and Liver",6,Spine;Neck or Back;Mouth or Teeth;Kidney;Lung;Liver
Duraplasty,1,Severe Disease
Strain of the Lumbosacral Spine,1,Spine
Post-Traumatic Seizure Disorder,1,Severe Disease
"Pyorrhea (Gum Disease), Back, Neck, and Head Pain",4,"Mouth or Teeth;Jaw;Neck or Back;Head, Skull"
Linear Skull Fracture,1,"Head, Skull"
Posttraumatic Muscle Tension Headaches,1,"Head, Skull"
Lumbar Muscular Spasm,1,Neck or Back
"Cuts and Bruises to Hands, Legs, and Elbow, Stab Wounds to Back and Hand",4,Joint;Hand;Leg;Neck or Back
"Permanent Impairment of Fine Motor Skills, Left Hand, Injury to Head, Neck, and Thumb",5,"Eye;Hand;Neck or Back;Head, Skull;Finger"
"Gunshot Wound to the Heel, Soft Tissue Injuries to the Neck, Back, and Shoulder",4,Gunshot;Foot;Neck or Back;Shoulder
"Radiational Pain from Hip to Back, Knee and Shoulder Pain",4,"Neck or Back;Hip, Pelvis;Joint;Shoulder"
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Soft Tissue Injury to Thighs",5,Neck or Back;Shoulder;Arm;Leg;Soft Tissue
"Fractures of Humerus, Wrist, and Ankle, Tingling in Neck and Left Shoulder",5,Joint;Arm;Wrist;Neck or Back;Shoulder
Muscle Weakness,1,Unspecified Muscle Injuries
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal",5,Jaw;Neck or Back;Nerve System;Hand;Wrist
Stress and Fear,1,General Emotional Problems
Heart Attack,1,Heart
Left Radial Artery Arterial Line Insertion,1,Heart
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Injuries to Hands and Fingers",5,Neck or Back;Shoulder;Arm;Finger;Hand
"Cervical and Trapezius Muscle Sprain with Worsening of Pre-existing Sprains, Loss of Almost All Usage of Right Arm, Hand, and Leg",5,Neck or Back;Shoulder;Arm;Hand;Leg
"Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord, Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches",5,"Neck or Back;Shoulder;Spine;Jaw;Head, Skull"
Radiational Pain from Hip to Back,2,"Neck or Back;Hip, Pelvis"
Unspecified Permanent Spinal Cord Injuries,1,Spine
"Left Metatarsal Fractures, Left Ninth and Tenth Rib Fractures, Soft Tissue Injury to Thighs",4,Foot;Ribs;Leg;Soft Tissue
Right Eyebrow,1,Eye
"Neck and Shoulder Injury, Injuries to Ankle, Knee, and Lower Back",3,Shoulder;Neck or Back;Joint
Broken Ankle,1,Joint
"Knee and Back Pain, Injuries to Calf, Knee, and Elbow",3,Joint;Neck or Back;Leg
Rupture of both Jaw Discs,1,Jaw
Whiplash Syndrome,1,Whiplash
"Permanent Disfigurement and Disability, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Disability;Skin;Shoulder;Mouth or Teeth;Arm
Partial Tear of Rotator Cuff,1,Shoulder
Neck and Back: Muscle and Ligament Strain,1,Neck or Back
Lost Chance of Survival,1,Death
Basilar Skull Fracture,1,"Head, Skull"
Fractured Metatarsal,1,Foot
Pelvic Area Fracture,1,"Hip, Pelvis"
"Seat Belt Burns to Neck and Chest, Head, Neck, Sternum, Jaw and Rib Pain",6,"Burns;Neck or Back;Breast or Chest;Jaw;Head, Skull;Ribs"
"Permanent Impairment of Fine Motor Skills, Left Hand, Injuries to Left Arm and Shoulder",4,Eye;Hand;Arm;Shoulder
"Back, Neck, and Hand Injuries, Cervical and Shoulder Sprains",3,Hand;Neck or Back;Shoulder
Broadly Based Disk Herniation of Two Lumbar Disks,1,Spine
Severed Spinal Cord,1,Spine
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Stab Wounds to Back and Hand",5,Arm;Shoulder;Lip;Hand;Neck or Back
Traumatic Lumbosacral Sprain,1,Neck or Back
Fractured Wrist,1,Wrist
Spinal Cord Injury,1,Spine
"Burns to Hand and Feet, Lower Back and Chest Pains",4,Hand;Foot;Neck or Back;Breast or Chest
"Unspecified Injury to Chest and Back, Torn Cervical Muscle and Fibrosis",3,Neck or Back;Breast or Chest;Fibrosis
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Neck and Shoulder Stiffness",7,Burns;Hand;Stomach;Leg;Abdomen;Shoulder;Neck or Back
"Injuries to Neck, Back, and Arm",2,Arm;Neck or Back
"Cut Hand and Subsequent Infection, Head and Shoulder Injury",4,"Hand;Infection;Shoulder;Head, Skull"
Left Frontal Fracture,1,Brain
Right Below-Knee Amputation,1,Joint
"Head and Shoulder Injury, Soft Tissue Injury to Thighs",4,"Shoulder;Head, Skull;Leg;Soft Tissue"
Optic Nerve Injury of Left Eye,1,Eye
"Fractures of Humerus, Wrist, and Ankle, Bilateral Inflamation of Two Joints in Lower Back, Bulging Discs at the L4-5, T5-6, T6-7, and T7-8 Level",5,Joint;Arm;Wrist;Neck or Back;Spine
"Partial Paralysis of Upper Lip, Right Knee Slip and Fall Injury",4,Paralysis;Mouth or Teeth;Joint;Falling
"Pain in Leg and Buttocks, Neck and Hand Sprain",4,"Leg;Hip, Pelvis;Neck or Back;Hand"
"Injuries to Left Eye, Nose, and Thumb, Seat Belt Burns to Neck and Chest",6,Eye;Nose;Finger;Burns;Neck or Back;Breast or Chest
Wrongful Death,1,Death
"Injuries to Neck, Back, and Arm, Severe Injuries to Head and Face",4,"Arm;Neck or Back;Face;Head, Skull"
"Cervical and Lumbrosacral Strain, Burns on Scalp",4,"Neck or Back;Spine;Burns;Head, Skull"
Bladder Condition,1,Bladder
Adjustment Disorder with Depression,1,Depression
Nodules on Legs,1,Leg
"Neck, Arm, Shoulder, and Leg Pain, Head and Shoulder Injury",5,"Arm;Neck or Back;Leg;Shoulder;Head, Skull"
Torn Tendon in Inner Lip,1,Mouth or Teeth
"Arm and Shoulder Injury, Gunshot Injury to Stomach",4,Arm;Shoulder;Gunshot;Stomach
"Soft Tissue Injury to Thighs, Dog Bite (Arm)",4,Leg;Soft Tissue;Arm;Single Wound
"Severe Pain in Neck, Back, and Shoulders, Fractures of Humerus, Wrist, and Ankle",5,Shoulder;Neck or Back;Joint;Arm;Wrist
Hematoma to Nose,1,Nose
Bi-Lateral Ankle Fractures,1,Joint
"Multiple Lacerations on Forehead, Chin, and Lip, Joint Injury between Hand and Wrist",5,"Head, Skull;Face;Lip;Hand;Wrist"
Pneumothorax of Left Lung,1,Lung
Multiple Lung Perforations,1,Lung
Cervical,1,Neck or Back
Hip Injury,1,"Hip, Pelvis"
25% Permanent Functional Disability of Left Lower Extremity,1,Disability
Brain Trauma,1,Brain
Cervical Injury,1,Neck or Back
Right Ankle Sprain,1,Joint
Permanent Disability,1,Disability
"""Floppy Toe""",1,Foot
Loss of Sexual Function,1,Sexual Dysfunction
Life-Threatening Infection,1,Infection
"Rib Fracture Leading to Pneumonia, Neck and Shoulder Injury",4,Ribs;Lung;Shoulder;Neck or Back
Forearm Pain,1,Arm
"Knee, Neck, Back, and Hand Injuries, Neck and Shoulder Injuries",4,Hand;Joint;Neck or Back;Shoulder
Nondisplaced Frontal Fracture,1,Brain
Decreased Range of Motion in Back,1,Neck or Back
"Loss of Urinary, Bowel, and Sexual Function, Neck and Head Injuries",5,"Ureter or Urethra;Intestine;Sexual Dysfunction;Neck or Back;Head, Skull"
"Foot, Ankle, Back, and Shoulder Pain, Musculoligamentous Strains of the Neck and Shoulder",4,Foot;Joint;Neck or Back;Shoulder
"Back and Left Leg Pain, Burn to Left Eye",4,Leg;Neck or Back;Eye;Burns
"Neckand Shoulder Pain, Wrongful Death and Survival Actions (not distinguished)",4,Shoulder;Neck or Back;Survival Action;Death
Cervical Spondyloses (Arthritis) Aggravated by Trauma,1,Arthritis
Severe Migraine Headaches,1,"Head, Skull"
Sacroiliac Dislocation,1,Spine
Temporomandibular Joint Injury (TMJ),1,Jaw
Permanent Paralysis From the Waist Down,2,Paralysis;Neck or Back
"Anemia, Hypovolemia, Survival Action and Wrongful Death-Husband/Father",1,Survival Action
Musculoskeletal Injury to Neck,1,Neck or Back
"Joint Injury between Hand and Wrist, Unspecified Neck and Shoulder Injuries",4,Hand;Wrist;Shoulder;Neck or Back
"Burned Right Arm, Fusion of Femur Neck to Hip Joint",4,"Arm;Burns;Neck or Back;Hip, Pelvis"
"Nose, Lip, Temple, and Neck Injuries",4,"Nose;Mouth or Teeth;Head, Skull;Neck or Back"
"Permanent Impairment of Fine Motor Skills, Left Hand, Cervical Strain With Nerve Root Irritation",4,Eye;Hand;Neck or Back;Nerve System
"Neck and Shoulder Injury, Pain in Leg and Buttocks",4,"Shoulder;Neck or Back;Leg;Hip, Pelvis"
"Gunshot Injury to Stomach, Neck, Arm, Shoulder, and Leg Pain",6,Gunshot;Stomach;Arm;Neck or Back;Leg;Shoulder
"Pain in Leg and Buttocks, Broken Teeth and Exposed Nerves",4,"Leg;Hip, Pelvis;Mouth or Teeth;Nerve System"
Flexion Contractures,1,Joint
"Burn to Left Eye, Lumbosacral Sprain and Right Shoulder Sprain",4,Eye;Burns;Shoulder;Spine
Jaw Misalignment,1,Jaw
Shoulder Arthraligia,1,Shoulder
Permanent Scar on Forehead,1,"Head, Skull"
Right Hemopneumothorax Secondary to Fractured Right Ribs,1,Ribs
"Neck, Back, and Finger Sprains, Joint Injury between Hand and Wrist",4,Neck or Back;Finger;Hand;Wrist
"Soft Tissue Injury to Trapezius Muscle, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",6,Soft Tissue;Shoulder;Burns;Hand;Leg;Stomach
"Neck and Shoulder Stiffness, Tingling in Neck and Left Shoulder",2,Shoulder;Neck or Back
Personality Problems,1,Cognitive Problem
Unspecified Neck and Shoulder Injuries,2,Shoulder;Neck or Back
"Pyorrhea (Gum Disease), Injuries to Neck, Back, and Arm",4,Mouth or Teeth;Jaw;Arm;Neck or Back
Neck and Back Pain,1,Neck or Back
Soft Tissue Lumbar and Cervical Injuries,1,Neck or Back
Respiratory Failure,1,Lung
"Gunshot Injury to Neck, Back, Hip, and Leg Injuries",4,"Gunshot;Neck or Back;Hip, Pelvis;Leg"
Hyperextension of Thumb,1,Finger
"Wrist and Neck Injuries, Contusions on Hip, Back, and Leg",4,"Wrist;Neck or Back;Leg;Hip, Pelvis"
Blunt Trauma to Right Hip,1,"Hip, Pelvis"
"Dog Bite Injuries to Arm and Back, Cuts and Bruises to Neck, Back, Shoulders, and Arms",4,Arm;Neck or Back;Multiple Wounds;Shoulder
